Date,Close,Symbol
1/2/2013 16:00,7.07,TSLA
1/3/2013 16:00,6.95,TSLA
1/4/2013 16:00,6.88,TSLA
1/7/2013 16:00,6.87,TSLA
1/8/2013 16:00,6.74,TSLA
1/9/2013 16:00,6.73,TSLA
1/10/2013 16:00,6.71,TSLA
1/11/2013 16:00,6.58,TSLA
1/14/2013 16:00,6.65,TSLA
1/15/2013 16:00,6.78,TSLA
1/16/2013 16:00,6.82,TSLA
1/17/2013 16:00,6.88,TSLA
1/18/2013 16:00,6.9,TSLA
1/22/2013 16:00,7.04,TSLA
1/23/2013 16:00,7.2,TSLA
1/24/2013 16:00,7.4,TSLA
1/25/2013 16:00,7.4,TSLA
1/28/2013 16:00,7.61,TSLA
1/29/2013 16:00,7.59,TSLA
1/30/2013 16:00,7.5,TSLA
1/31/2013 16:00,7.5,TSLA
2/1/2013 16:00,7.66,TSLA
2/4/2013 16:00,7.55,TSLA
2/5/2013 16:00,7.63,TSLA
2/6/2013 16:00,7.83,TSLA
2/7/2013 16:00,7.9,TSLA
2/8/2013 16:00,7.85,TSLA
2/11/2013 16:00,7.68,TSLA
2/12/2013 16:00,7.58,TSLA
2/13/2013 16:00,7.69,TSLA
2/14/2013 16:00,7.66,TSLA
2/15/2013 16:00,7.41,TSLA
2/19/2013 16:00,7.86,TSLA
2/20/2013 16:00,7.71,TSLA
2/21/2013 16:00,7.03,TSLA
2/22/2013 16:00,7.22,TSLA
2/25/2013 16:00,6.88,TSLA
2/26/2013 16:00,6.89,TSLA
2/27/2013 16:00,7.02,TSLA
2/28/2013 16:00,6.97,TSLA
3/1/2013 16:00,6.93,TSLA
3/4/2013 16:00,7.12,TSLA
3/5/2013 16:00,7.33,TSLA
3/6/2013 16:00,7.54,TSLA
3/7/2013 16:00,7.65,TSLA
3/8/2013 16:00,7.69,TSLA
3/11/2013 16:00,7.82,TSLA
3/12/2013 16:00,7.82,TSLA
3/13/2013 16:00,7.8,TSLA
3/14/2013 16:00,7.37,TSLA
3/15/2013 16:00,7.06,TSLA
3/18/2013 16:00,7.03,TSLA
3/19/2013 16:00,7.02,TSLA
3/20/2013 16:00,7.19,TSLA
3/21/2013 16:00,7.2,TSLA
3/22/2013 16:00,7.32,TSLA
3/25/2013 16:00,7.51,TSLA
3/26/2013 16:00,7.57,TSLA
3/27/2013 16:00,7.63,TSLA
3/28/2013 16:00,7.58,TSLA
4/1/2013 16:00,8.79,TSLA
4/2/2013 16:00,8.87,TSLA
4/3/2013 16:00,8.22,TSLA
4/4/2013 16:00,8.4,TSLA
4/5/2013 16:00,8.27,TSLA
4/8/2013 16:00,8.37,TSLA
4/9/2013 16:00,8.1,TSLA
4/10/2013 16:00,8.37,TSLA
4/11/2013 16:00,8.72,TSLA
4/12/2013 16:00,8.75,TSLA
4/15/2013 16:00,8.66,TSLA
